"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\App.css", "CSS", 0, 0, 29, 0, 5, 34
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\App.js", "JavaScript", 126, 0, 0, 39, 7, 172
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\api.js", "JavaScript", 24, 0, 0, 0, 4, 28
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\camera.svg", "XML", 0, 2, 0, 0, 0, 2
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\draw.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\draw.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\share.css", "CSS", 0, 0, 4, 0, 0, 4
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\shot.css", "CSS", 0, 0, 21, 0, 2, 23
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\shot.js", "JavaScript", 71, 0, 0, 31, 8, 110
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.css", "CSS", 0, 0, 45, 0, 5, 50
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 701, 0, 0, 24, 76, 801
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\collector.js", "JavaScript", 8, 0, 0, 0, 1, 9
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.css", "CSS", 0, 0, 63, 1, 9, 73
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.js", "JavaScript", 94, 0, 0, 15, 7, 116
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\share.css", "CSS", 0, 0, 6, 0, 0, 6
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\utils.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\index.js", "JavaScript", 14, 0, 0, 5, 3, 22
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\logo.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\store\GlobalStore.js", "JavaScript", 41, 0, 0, 0, 4, 45
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\store\index.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\add_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\audio_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\board.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\board_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\collector.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\collector_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\delete.svg", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\eraser.svg", "XML", 0, 24, 0, 0, 1, 25
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\material.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\material_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\pencil.svg", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\plant_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\shape.svg", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\texture_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\video_black.svg", "XML", 0, 1, 0, 0, 0, 1
"Total", "-", 1114, 85, 180, 119, 147, 1645
